Name,Data
Francolinus_rufopictus,FALSE
Francolinus_jacksoni,FALSE
Francolinus_erckelii,TRUE
Francolinus_ahantensis,FALSE
Francolinus_ochropectus,FALSE
Francolinus_harwoodi,FALSE
Francolinus_bicalcaratus,TRUE
Francolinus_squamatus,TRUE
Francolinus_adspersus,TRUE
Francolinus_clappertoni,FALSE
Francolinus_capensis,TRUE
Francolinus_swierstrai,FALSE
Francolinus_natalensis,TRUE
Francolinus_hildebrandti,TRUE
Francolinus_griseostriatus,TRUE
Francolinus_icterorhynchus,FALSE
Francolinus_afer,TRUE
Francolinus_swainsonii,TRUE
Francolinus_leucoscepus,TRUE
Francolinus_camerunensis,FALSE
Francolinus_hartlaubi,TRUE
Tetraogallus_caspius,TRUE
Tetraogallus_altaicus,TRUE
Tetraogallus_himalayensis,TRUE
Tetraogallus_tibetanus,TRUE
Tetraogallus_caucasicus,FALSE
Alectoris_melanocephala,TRUE
Alectoris_rufa,TRUE
Alectoris_chukar,TRUE
Alectoris_graeca,TRUE
Alectoris_philbyi,TRUE
Alectoris_magna,TRUE
Alectoris_barbara,TRUE
Ammoperdix_heyi,TRUE
Ammoperdix_griseogularis,FALSE
Perdicula_asiatica,TRUE
Perdicula_manipurensis,FALSE
Perdicula_erythrorhyncha,FALSE
Perdicula_argoondah,FALSE
Francolinus_sephaena,TRUE
Francolinus_pictus,FALSE
Francolinus_pintadeanus,TRUE
Francolinus_gularis,TRUE
Francolinus_pondicerianus,TRUE
Francolinus_francolinus,TRUE
Francolinus_coqui,TRUE
Francolinus_schlegelii,FALSE
Francolinus_lathami,TRUE
Francolinus_albogularis,FALSE
Gallus_sonneratii,TRUE
Gallus_varius,TRUE
Gallus_gallus,TRUE
Gallus_lafayetii,TRUE
Bambusicola_fytchii,TRUE
Bambusicola_thoracicus,TRUE
Francolinus_shelleyi,TRUE
Francolinus_levaillantoides,TRUE
Francolinus_levaillantii,TRUE
Francolinus_africanus,TRUE
Francolinus_streptophorus,FALSE
Francolinus_finschi,TRUE
Francolinus_psilolaemus,FALSE
Polyplectron_malacense,TRUE
Polyplectron_schleiermacheri,TRUE
Polyplectron_katsumatae,TRUE
Polyplectron_inopinatum,TRUE
Polyplectron_bicalcaratum,TRUE
Polyplectron_chalcurum,TRUE
Polyplectron_germaini,TRUE
Polyplectron_napoleonis,TRUE
Galloperdix_bicalcarata,FALSE
Galloperdix_spadicea,FALSE
Galloperdix_lunulata,TRUE
Haematortyx_sanguiniceps,TRUE
Afropavo_congensis,TRUE
Pavo_muticus,TRUE
Pavo_cristatus,TRUE
Rheinardia_ocellata,TRUE
Argusianus_argus,TRUE
Francolinus_nahani,TRUE
Acryllium_vulturinum,TRUE
Numida_meleagris,TRUE
Guttera_plumifera,TRUE
Guttera_pucherani,TRUE
Agelastes_meleagrides,TRUE
Agelastes_niger,FALSE
Penelopina_nigra,TRUE
Aburria_aburri,TRUE
Pipile_cumanensis,TRUE
Pipile_pipile,TRUE
Pipile_cujubi,TRUE
Pipile_jacutinga,TRUE
Penelope_montagnii,TRUE
Penelope_jacucaca,FALSE
Penelope_purpurascens,TRUE
Penelope_ortoni,FALSE
Penelope_marail,FALSE
Penelope_jacquacu,TRUE
Penelope_pileata,FALSE
Penelope_obscura,TRUE
Penelope_ochrogaster,TRUE
Penelope_perspicax,FALSE
Penelope_argyrotis,TRUE
Penelope_albipennis,FALSE
Penelope_dabbenei,FALSE
Penelope_barbata,FALSE
Penelope_superciliaris,TRUE
Chamaepetes_goudotii,TRUE
Chamaepetes_unicolor,TRUE
Oreophasis_derbianus,TRUE
Mitu_mitu,TRUE
Pauxi_unicornis,TRUE
Mitu_tuberosum,TRUE
Mitu_salvini,TRUE
Mitu_tomentosum,TRUE
Pauxi_pauxi,TRUE
Nothocrax_urumutum,TRUE
Crax_alberti,TRUE
Crax_rubra,TRUE
Crax_daubentoni,TRUE
Crax_fasciolata,TRUE
Crax_alector,TRUE
Crax_blumenbachii,TRUE
Crax_globulosa,TRUE
Ortalis_wagleri,FALSE
Ortalis_garrula,TRUE
Ortalis_ruficauda,TRUE
Ortalis_poliocephala,TRUE
