Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Calidris,ferruginea,None,Scolopacidae,Charadriiformes,Curlew Sandpiper,Calidris_ferruginea,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Calidris,minuta,None,Scolopacidae,Charadriiformes,Little Stint,Calidris_minuta,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Calidris,pugnax,None,Scolopacidae,Charadriiformes,Ruff,Philomachus_pugnax,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Caprimulgus,madagascariensis,madagascariensis,Caprimulgidae,Caprimulgiformes,Madagascar Nightjar,Caprimulgus_madagascariensis,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Ceblepyris,cinereus,"cinerea, pallida",Campephagidae,Passeriformes,Madagascar Cuckooshrike,Coracina_cinerea,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Centropus,toulou,toulou,Cuculidae,Cuculiformes,Madagascar Coucal,Centropus_toulou,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Centrornis,majori,None,Anatidae,Anseriformes,Malagasy sheldgoose,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Charadrius,hiaticula,None,Charadriidae,Charadriiformes,Common Ringed Plover,Charadrius_hiaticula,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Charadrius,leschenaultii,None,Charadriidae,Charadriiformes,Greater Sandplover,Charadrius_leschenaultii,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Charadrius,marginatus,tenellus,Charadriidae,Charadriiformes,White-fronted Plover,Charadrius_marginatus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Charadrius,pecuarius,None,Charadriidae,Charadriiformes,Kittlitz's Plover,Charadrius_pecuarius,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Charadrius,thoracicus,None,Charadriidae,Charadriiformes,Black-banded Plover,Charadrius_thoracicus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Charadrius,tricollaris,None,Charadriidae,Charadriiformes,Madagascar Three-banded Plover,Charadrius_tricollaris,TRUE,FALSE,Extant,Non-endemic,Non-endemic,FALSE
Chlidonias,hybrida,delalandii,Laridae,Charadriiformes,Whiskered Tern,Chlidonias_hybrida,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Chlidonias,leucopterus,None,Laridae,Charadriiformes,White-winged Tern,Chlidonias_leucopterus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
