Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Boophis,lichenoides,None,Mantellidae,Anura,Liken treefrog,Boophis_lichenoides,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,lilianae,None,Mantellidae,Anura,None,Boophis_lilianae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,luciae,None,Mantellidae,Anura,None,Boophis_luciae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,luteus,None,Mantellidae,Anura,None,Boophis_luteus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,madagascariensis,None,Mantellidae,Anura,None,Boophis_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,majori,None,Mantellidae,Anura,None,Boophis_majori,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,mandraka,None,Mantellidae,Anura,None,Boophis_mandraka,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,marojezensis,None,Mantellidae,Anura,None,Boophis_marojezensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,masoala,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,miadana,None,Mantellidae,Anura,None,Boophis_miadana,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,microtympanum,None,Mantellidae,Anura,None,Boophis_microtympanum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,miniatus,None,Mantellidae,Anura,None,Boophis_miniatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,narinsi,None,Mantellidae,Anura,None,Boophis_narinsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,obscurus,None,Mantellidae,Anura,None,Boophis_obscurus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,occidentalis,None,Mantellidae,Anura,Western white lipped treefrog,Boophis_occidentalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,opisthodon,None,Mantellidae,Anura,None,Boophis_opisthodon,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,pauliani,None,Mantellidae,Anura,None,Boophis_pauliani,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,periegetes,None,Mantellidae,Anura,None,Boophis_periegetes,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,picturatus,None,Mantellidae,Anura,None,Boophis_picturatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,piperatus,None,Mantellidae,Anura,None,Boophis_piperatus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,popi,None,Mantellidae,Anura,None,Boophis_popi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,praedictus,None,Mantellidae,Anura,None,Boophis_praedictus,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,pyrrhus,None,Mantellidae,Anura,None,Boophis_pyrrhus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,quasiboehmei,None,Mantellidae,Anura,None,Boophis_quasiboehmei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,rappiodes,None,Mantellidae,Anura,None,Boophis_rappiodes,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,reticulatus,None,Mantellidae,Anura,None,Boophis_reticulatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,rhodoscelis,None,Mantellidae,Anura,None,Boophis_rhodoscelis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,roseipalmatus,None,Mantellidae,Anura,None,Boophis_roseipalmatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,rufioculis,None,Mantellidae,Anura,None,Boophis_rufioculis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,sambirano,None,Mantellidae,Anura,None,Boophis_sambirano,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,sandrae,None,Mantellidae,Anura,None,Boophis_sandrae,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,schuboeae,None,Mantellidae,Anura,None,Boophis_schuboeae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,septentrionalis,None,Mantellidae,Anura,None,Boophis_septentrionalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,sibilans,None,Mantellidae,Anura,None,Boophis_sibilans,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,solomaso,None,Mantellidae,Anura,None,Boophis_solomaso,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,spinophis,None,Mantellidae,Anura,None,Boophis_spinophis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,tampoka,None,Mantellidae,Anura,None,Boophis_tampoka,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,tasymena,None,Mantellidae,Anura,None,Boophis_tasymena,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,tephraeomystax,None,Mantellidae,Anura,None,Boophis_tephraeomystax,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,tsilomaro,None,Mantellidae,Anura,None,Boophis_tsilomaro,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Boophis,ulftunni,None,Mantellidae,Anura,None,Boophis_ulftunni,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,viridis,None,Mantellidae,Anura,None,Boophis_viridis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,vittatus,None,Mantellidae,Anura,None,Boophis_vittatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,williamsi,None,Mantellidae,Anura,None,Boophis_williamsi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boophis,xerophilus,None,Mantellidae,Anura,None,Boophis_xerophilus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,australis,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,chorus,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,inguinalis,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,laticeps,None,Mantellidae,Anura,None,Aglyptodactylus_laticeps,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,madagascariensis,None,Mantellidae,Anura,None,Aglyptodactylus_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Aglyptodactylus,securifer,None,Mantellidae,Anura,None,Aglyptodactylus_securifer,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Laliostoma,labrosum,None,Mantellidae,Anura,None,Laliostoma_labrosum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,angolafa,None,Mantellidae,Anura,None,Blommersia_angolafa,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,blommersae,None,Mantellidae,Anura,None,Blommersia_blommersae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,dejongi,None,Mantellidae,Anura,None,Blommersia_dejongi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,domerguei,None,Mantellidae,Anura,None,Blommersia_domerguei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,galani,None,Mantellidae,Anura,None,Blommersia_galani,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,grandisonae,None,Mantellidae,Anura,None,Blommersia_grandisonae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,kely,None,Mantellidae,Anura,None,Blommersia_kely,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,sarotra,None,Mantellidae,Anura,None,Blommersia_sarotra,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,variabilis,None,Mantellidae,Anura,None,Blommersia_variabilis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Blommersia,wittei,None,Mantellidae,Anura,None,Blommersia_wittei,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Boehmantis,microtympanum,None,Mantellidae,Anura,None,Boehmantis_microtympanum,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,ambohitra,None,Mantellidae,Anura,None,Gephyromantis_ambohitra,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,angano,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Gephyromantis,asper,None,Mantellidae,Anura,None,Gephyromantis_asper,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,atsingy,None,Mantellidae,Anura,None,Gephyromantis_atsingy,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,blanci,None,Mantellidae,Anura,None,Gephyromantis_blanci,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,boulengeri,None,Mantellidae,Anura,None,Gephyromantis_boulengeri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,ceratophrys,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Gephyromantis,cornutus,None,Mantellidae,Anura,None,Gephyromantis_cornutus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,corvus,None,Mantellidae,Anura,None,Gephyromantis_corvus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,decaryi,None,Mantellidae,Anura,None,Gephyromantis_decaryi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,eiselti,None,Mantellidae,Anura,None,Gephyromantis_eiselti,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,enki,None,Mantellidae,Anura,None,Gephyromantis_enki,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,granulatus,None,Mantellidae,Anura,None,Gephyromantis_granulatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,grosjeani,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Gephyromantis,hintelmannae,None,Mantellidae,Anura,None,Gephyromantis_hintelmannae,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,horridus,None,Mantellidae,Anura,Boettger's Grainy Frog,Gephyromantis_horridus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,kintana,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
Gephyromantis,klemmeri,None,Mantellidae,Anura,Klemmer's Madagascar Frog,Gephyromantis_klemmeri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,leucocephalus,None,Mantellidae,Anura,None,Gephyromantis_leucocephalus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,leucomaculatus,None,Mantellidae,Anura,None,Gephyromantis_leucomaculatus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gephyromantis,lomorina,None,Mantellidae,Anura,None,NA,FALSE,FALSE,Extant,Endemic,Endemic,FALSE
