Name,Data,Genes
Allophryne relicta,1,2
Allophryne resplendens,1,2
Allophryne ruthveni,1,12
Alsodes australis,1,1
Alsodes barrioi,1,7
Alsodes coppingeri,1,7
Alsodes gargola,1,9
Alsodes hugoi,1,6
Alsodes igneus,1,7
Alsodes kaweshkari,1,1
Alsodes montanus,0,0
Alsodes monticola,1,2
Alsodes neuquensis,1,5
Alsodes nodosus,1,6
Alsodes norae,1,6
Alsodes pehuenche,1,7
Alsodes tumultuosus,1,7
Alsodes valdiviensis,1,7
Alsodes vanzolinii,1,6
Alsodes verrucosus,1,7
Alsodes vittatus,0,0
Eupsophus altor,1,6
Eupsophus calcaratus,1,12
Eupsophus contulmoensis,1,6
Eupsophus emiliopugini,1,7
Eupsophus insularis,1,6
Eupsophus migueli,1,6
Eupsophus nahuelbutensis,1,7
Eupsophus roseus,1,7
Eupsophus septentrionalis,1,5
Eupsophus vertebralis,1,6
Limnomedusa macroglossa,1,9
Alytes cisternasii,1,3
Alytes dickhilleni,1,9
Alytes maurus,1,4
Alytes muletensis,1,7
Alytes obstetricans,1,14
Discoglossus galganoi,1,10
Discoglossus montalentii,1,9
Discoglossus pictus,1,13
Discoglossus sardus,1,10
Discoglossus scovazzi,1,10
Latonia nigriventer,1,6
Arthroleptis adelphus,1,2
Arthroleptis adolfifriederici,1,3
Arthroleptis affinis,1,2
Arthroleptis anotis,0,0
Arthroleptis aureoli,1,2
Arthroleptis bioko,1,2
Arthroleptis bivittatus,0,0
Arthroleptis brevipes,1,2
Arthroleptis carquejai,0,0
Arthroleptis crusculum,1,1
Arthroleptis discodactylus,0,0
Arthroleptis fichika,1,2
Arthroleptis formosus,1,1
Arthroleptis francei,1,2
Arthroleptis hematogaster,0,0
Arthroleptis kidogo,1,2
Arthroleptis krokosua,1,1
Arthroleptis kutogundua,0,0
Arthroleptis lameerei,0,0
Arthroleptis langeri,1,1
Arthroleptis lonnbergi,0,0
Arthroleptis loveridgei,0,0
Arthroleptis mossoensis,0,0
Arthroleptis nguruensis,0,0
Arthroleptis nikeae,1,2
Arthroleptis nimbaensis,1,1
Arthroleptis nlonakoensis,0,0
Arthroleptis palava,1,2
Arthroleptis perreti,1,2
Arthroleptis phrynoides,0,0
Arthroleptis poecilonotus,1,4
Arthroleptis pyrrhoscelis,0,0
Arthroleptis reichei,1,2
Arthroleptis schubotzi,1,6
Arthroleptis spinalis,0,0
Arthroleptis stenodactylus,1,2
Arthroleptis stridens,0,0
Arthroleptis sylvaticus,1,6
Arthroleptis taeniatus,1,5
Arthroleptis tanneri,1,6
Arthroleptis troglodytes,0,0
Arthroleptis tuberosus,0,0
Arthroleptis variabilis,1,12
Arthroleptis vercammeni,0,0
Arthroleptis wahlbergii,1,2
Arthroleptis xenochirus,0,0
Arthroleptis xenodactyloides,1,6
Arthroleptis xenodactylus,1,2
Arthroleptis zimmeri,0,0
Cardioglossa alsco,0,0
Cardioglossa cyaneospila,0,0
Cardioglossa elegans,1,2
Cardioglossa escalerae,0,0
Cardioglossa gracilis,1,2
Cardioglossa gratiosa,1,5
Cardioglossa leucomystax,1,7
Cardioglossa manengouba,1,2
Cardioglossa melanogaster,1,2
Cardioglossa nigromaculata,0,0
Cardioglossa occidentalis,1,2
Cardioglossa oreas,1,2
Cardioglossa pulchra,1,2
Cardioglossa schioetzi,1,2
Cardioglossa trifasciata,0,0
Cardioglossa venusta,0,0
Astylosternus batesi,1,2
Astylosternus diadematus,1,5
Astylosternus fallax,0,0
Astylosternus laticephalus,1,1
Astylosternus laurenti,0,0
Astylosternus montanus,0,0
Astylosternus nganhanus,0,0
Astylosternus occidentalis,1,1
Astylosternus perreti,0,0
Astylosternus ranoides,0,0
Astylosternus rheophilus,0,0
Astylosternus schioetzi,1,7
Leptodactylodon albiventris,0,0
Leptodactylodon axillaris,1,1
Leptodactylodon bicolor,1,5
Leptodactylodon blanci,0,0
Leptodactylodon boulengeri,0,0
Leptodactylodon bueanus,0,0
Leptodactylodon erythrogaster,0,0
Leptodactylodon mertensi,0,0
Leptodactylodon ornatus,0,0
Leptodactylodon ovatus,0,0
Leptodactylodon perreti,1,1
Leptodactylodon polyacanthus,0,0
Leptodactylodon stevarti,0,0
Leptodactylodon ventrimarmoratus,0,0
Leptodactylodon wildi,0,0
Nyctibates corrugatus,1,5
Scotobleps gabonicus,1,6
Trichobatrachus robustus,1,15
Leptopelis anchietae,0,0
Leptopelis argenteus,1,4
Leptopelis aubryi,0,0
Leptopelis aubryioides,0,0
Leptopelis barbouri,1,3
Leptopelis bequaerti,0,0
Leptopelis bocagii,1,3
Leptopelis boulengeri,0,0
Leptopelis brevipes,0,0
Leptopelis brevirostris,1,1
Leptopelis broadleyi,0,0
Leptopelis bufonides,0,0
Leptopelis calcaratus,1,1
Leptopelis christyi,0,0
Leptopelis concolor,1,1
Leptopelis crystallinoron,0,0
Leptopelis cynnamomeus,0,0
Leptopelis fenestratus,0,0
Leptopelis fiziensis,1,2
Leptopelis flavomaculatus,0,0
Leptopelis gramineus,0,0
Leptopelis jordani,0,0
Leptopelis karissimbensis,1,3
Leptopelis kivuensis,1,11
Leptopelis lebeaui,0,0
Leptopelis mackayi,0,0
Leptopelis macrotis,0,0
Leptopelis marginatus,0,0
Leptopelis millsoni,1,1
Leptopelis modestus,1,3
Leptopelis mossambicus,0,0
Leptopelis natalensis,1,7
Leptopelis nordequatorialis,0,0
Leptopelis notatus,0,0
Leptopelis occidentalis,0,0
Leptopelis ocellatus,0,0
Leptopelis oryi,0,0
Leptopelis palmatus,1,2
Leptopelis parbocagii,0,0
Leptopelis parkeri,0,0
Leptopelis parvus,0,0
Leptopelis ragazzii,0,0
Leptopelis rufus,0,0
Leptopelis spiritusnoctis,0,0
Leptopelis susanae,0,0
Leptopelis uluguruensis,0,0
Leptopelis vannutellii,0,0
Leptopelis vermiculatus,1,6
Leptopelis viridis,0,0
Leptopelis xenodactylus,0,0
Leptopelis yaldeni,0,0
Leptopelis zebra,0,0
Ascaphus montanus,1,7
Ascaphus truei,1,13
Atelognathus ceii,0,0
Atelognathus jeinimenensis,1,2
Atelognathus nitoi,0,0
Atelognathus patagonicus,1,7
Atelognathus praebasalticus,0,0
Atelognathus reverberii,0,0
Atelognathus salai,0,0
Atelognathus solitarius,0,0
Batrachyla antartandica,1,2
Batrachyla fitzroya,0,0
Batrachyla leptopus,1,9
Batrachyla nibaldoi,0,0
Batrachyla taeniata,1,5
Chaltenobatrachus grandisonae,0,0
Hylorina sylvatica,1,2
Barbourula busuangensis,1,5
Bombina variegata,1,11
Barbourula kalimantanensis,1,6
Bombina bombina,1,9
Bombina fortinuptialis,1,6
Bombina lichuanensis,1,5
Bombina maxima,1,5
Bombina microdeladigitora,1,8
Bombina orientalis,1,13
Bombina pachypus,1,3
Brachycephalus alipioi,1,5
Brachycephalus atelopoide,0,0
Brachycephalus brunneus,1,5
Brachycephalus bufonoides,0,0
Brachycephalus didactylus,1,5
Brachycephalus ephippium,1,13
Brachycephalus ferruginus,1,5
Brachycephalus garbeana,0,0
Brachycephalus guarani,0,0
Brachycephalus hermogenesi,1,4
Brachycephalus izecksohni,1,5
Brachycephalus margaritatus,0,0
Brachycephalus nodoterga,1,5
Brachycephalus pernix,1,5
Brachycephalus pitanga,1,5
Brachycephalus pombali,1,5
Brachycephalus pulex,0,0
Brachycephalus toby,1,5
Brachycephalus tridactylus,0,0
Brachycephalus vertebralis,1,5
Ischnocnema abdita,1,4
Ischnocnema bolbodactyla,1,4
Ischnocnema concolor,1,3
Ischnocnema epipeda,0,0
Ischnocnema erythromera,1,4
Ischnocnema gehrti,0,0
Ischnocnema gualteri,0,0
Ischnocnema guentheri,1,10
Ischnocnema henselii,1,2
Ischnocnema hoehnei,1,4
Ischnocnema holti,1,4
Ischnocnema izecksohni,1,4
Ischnocnema juipoca,1,6
Ischnocnema karst,0,0
Ischnocnema lactea,1,4
Ischnocnema manezinho,0,0
Ischnocnema melanopygia,1,3
Ischnocnema nanahallux,1,1
Ischnocnema nasuta,1,4
Ischnocnema nigriventris,0,0
Ischnocnema octavioi,1,4
Ischnocnema oea,1,4
Ischnocnema paranaensis,0,0
Ischnocnema parva,1,6
Ischnocnema penaxavantinho,0,0
Ischnocnema pusilla,0,0
Ischnocnema randorum,0,0
Ischnocnema sambaqui,1,4
Ischnocnema spanios,1,4
Ischnocnema surda,0,0
Ischnocnema venancioi,1,4
Ischnocnema verrucosa,1,4
Ischnocnema vizottoi,1,3
Balebreviceps hillmani,1,3
Breviceps acutirostris,0,0
Breviceps adspersus,1,6
Breviceps bagginsi,0,0
Breviceps branchi,1,1
Breviceps fichus,1,1
Breviceps fuscus,1,6
Breviceps gibbosus,0,0
Breviceps macrops,1,1
Breviceps maculatus,0,0
Breviceps montanus,0,0
Breviceps mossambicus,1,11
Breviceps namaquensis,1,1
Breviceps poweri,0,0
Breviceps rosei,0,0
Breviceps sopranus,0,0
Breviceps sylvestris,0,0
Breviceps verrucosus,0,0
Callulina dawida,1,3
Callulina hanseni,0,0
Callulina kanga,1,2
Callulina kisiwamsitu,1,7
Callulina kreffti,1,12
Callulina laphami,1,2
Callulina meteora,0,0
Callulina shengena,1,2
Callulina stanleyi,1,3
Probreviceps durirostris,1,3
Probreviceps loveridgei,1,3
Probreviceps macrodactylus,1,6
Probreviceps rhodesianus,0,0
Probreviceps rungwensis,1,3
Probreviceps uluguruensis,1,3
Spelaeophryne methneri,1,8
Adenomus dasi,0,0
Adenomus kandianus,0,0
Adenomus kelaartii,1,8
Altiphrynoides malcolmi,0,0
Altiphrynoides osgoodi,0,0
Amazophrynella bokermanni,1,4
Amazophrynella manaos,0,0
Amazophrynella minuta,1,10
Amazophrynella vote,0,0
Amietophrynus asmarae,0,0
Amietophrynus blanfordii,0,0
Amietophrynus brauni,1,12
Amietophrynus buchneri,0,0
Amietophrynus camerunensis,1,10
Amietophrynus channingi,1,1
Amietophrynus chudeaui,0,0
Amietophrynus cristiglans,0,0
Amietophrynus danielae,0,0
Amietophrynus djohongensis,0,0
Amietophrynus fuliginatus,0,0
Amietophrynus funereus,0,0
Amietophrynus garmani,1,8
Amietophrynus gracilipes,1,8
Amietophrynus gutturalis,1,9
Amietophrynus kassasii,0,0
Amietophrynus kerinyagae,0,0
Amietophrynus kisoloensis,1,7
Amietophrynus langanoensis,0,0
Amietophrynus latifrons,1,5
Amietophrynus lemairii,1,2
Amietophrynus maculatus,1,10
Amietophrynus mauritanicus,1,6
Amietophrynus pantherinus,1,4
Amietophrynus pardalis,1,3
Amietophrynus perreti,0,0
Amietophrynus poweri,1,6
Amietophrynus rangeri,1,3
Amietophrynus reesi,0,0
Amietophrynus regularis,1,11
Amietophrynus steindachneri,1,8
Amietophrynus superciliaris,0,0
Amietophrynus taiensis,0,0
Amietophrynus togoensis,0,0
Amietophrynus tuberosus,1,4
Amietophrynus turkanae,0,0
Amietophrynus urunguensis,0,0
Amietophrynus villiersi,0,0
Amietophrynus vittatus,0,0
Amietophrynus xeros,1,6
Anaxyrus americanus,1,10
Anaxyrus baxteri,1,2
Anaxyrus boreas,1,11
Anaxyrus californicus,1,4
Anaxyrus canorus,1,3
Anaxyrus cognatus,1,9
Anaxyrus compactilis,0,0
Anaxyrus debilis,1,6
Anaxyrus exsul,1,8
Anaxyrus fowleri,1,7
Anaxyrus hemiophrys,1,6
Anaxyrus houstonensis,1,2
Anaxyrus kelloggi,0,0
Anaxyrus mexicanus,0,0
Anaxyrus microscaphus,1,7
Anaxyrus nelsoni,1,5
Anaxyrus punctatus,1,7
Anaxyrus quercicus,1,7
Anaxyrus retiformis,1,3
Anaxyrus speciosus,1,3
Anaxyrus terrestris,1,10
Anaxyrus woodhousii,1,10
Andinophryne atelopoides,0,0
Andinophryne colomai,0,0
Andinophryne olallai,0,0
Ansonia albomaculata,1,2
Ansonia echinata,0,0
Ansonia endauensis,1,2
Ansonia fuliginea,1,2
Ansonia glandulosa,0,0
Ansonia guibei,1,2
Ansonia hanitschi,1,6
Ansonia inthanon,1,2
Ansonia jeetsukumarani,0,0
Ansonia kraensis,1,2
Ansonia latidisca,1,2
Ansonia latiffi,0,0
Ansonia latirostra,1,2
Ansonia leptopus,1,6
Ansonia longidigita,1,8
Ansonia lumut,0,0
Ansonia malayana,1,2
Ansonia mcgregori,1,3
Ansonia minuta,1,2
Ansonia muelleri,1,3
Ansonia penangensis,1,2
Ansonia platysoma,1,2
Ansonia siamensis,1,2
Ansonia spinulifer,1,6
Ansonia thinthinae,1,2
Ansonia tiomanica,1,2
Ansonia torrentis,1,2
Atelopus andinus,0,0
Atelopus angelito,0,0
Atelopus ardila,0,0
Atelopus arsyecue,0,0
Atelopus arthuri,0,0
Atelopus balios,0,0
Atelopus barbotini,1,6
Atelopus bomolochos,1,5
Atelopus boulengeri,0,0
Atelopus carauta,0,0
Atelopus carbonerensis,0,0
Atelopus carrikeri,0,0
Atelopus certus,0,0
Atelopus chiriquiensis,1,2
Atelopus chirripoensis,0,0
Atelopus chocoensis,0,0
Atelopus chrysocorallus,0,0
Atelopus coynei,0,0
Atelopus cruciger,0,0
Atelopus dimorphus,0,0
Atelopus ebenoides,0,0
Atelopus elegans,0,0
Atelopus epikeisthos,0,0
Atelopus erythropus,0,0
Atelopus eusebianus,0,0
Atelopus eusebiodiazi,0,0
Atelopus exiguus,1,1
Atelopus famelicus,0,0
Atelopus farci,0,0
Atelopus flavescens,1,8
Atelopus franciscus,1,2
Atelopus galactogaster,0,0
Atelopus gigas,0,0
Atelopus glyphus,0,0
Atelopus guanujo,0,0
Atelopus guitarraensis,0,0
Atelopus halihelos,1,2
Atelopus hoogmoedi,1,3
Atelopus ignescens,1,3
Atelopus laetissimus,0,0
Atelopus limosus,1,1
Atelopus loettersi,0,0
Atelopus longibrachius,0,0
Atelopus longirostris,1,2
Atelopus lozanoi,0,0
Atelopus lynchi,0,0
Atelopus mandingues,0,0
Atelopus marinkellei,0,0
Atelopus mindoensis,0,0
Atelopus minutulus,0,0
Atelopus mittermeieri,0,0
Atelopus monohernandezii,0,0
Atelopus mucubajiensis,0,0
Atelopus muisca,0,0
Atelopus nahumae,0,0
Atelopus nanay,1,3
Atelopus nepiozomus,0,0
Atelopus nicefori,0,0
Atelopus nocturnus,0,0
Atelopus onorei,1,1
Atelopus orcesi,0,0
Atelopus oxapampae,1,1
Atelopus oxyrhynchus,0,0
Atelopus pachydermus,0,0
Atelopus palmatus,0,0
Atelopus pastuso,0,0
Atelopus patazensis,0,0
Atelopus pedimarmoratus,0,0
Atelopus peruensis,1,6
Atelopus petersi,0,0
Atelopus petriruizi,0,0
Atelopus pictiventris,0,0
Atelopus pinangoi,0,0
Atelopus planispina,0,0
Atelopus podocarpus,1,1
Atelopus pulcher,1,4
Atelopus pyrodactylus,0,0
Atelopus quimbaya,0,0
Atelopus reticulatus,0,0
Atelopus sanjosei,0,0
Atelopus seminiferus,1,2
Atelopus senex,1,1
Atelopus sernai,0,0
Atelopus simulatus,0,0
Atelopus siranus,0,0
Atelopus sonsonensis,0,0
Atelopus sorianoi,0,0
Atelopus spumarius,1,7
Atelopus spurrelli,1,3
Atelopus subornatus,0,0
Atelopus tamaensis,0,0
Atelopus tricolor,1,2
Atelopus varius,1,3
Atelopus vermiculatus,1,1
Atelopus vogli,0,0
Atelopus walkeri,0,0
Atelopus zeteki,1,2
Barbarophryne brongersmai,1,4
Bufo ailaoanus,0,0
Bufo arabicus,0,0
Bufo aspinius,1,3
Bufo bankorensis,1,6
Bufo bufo,1,10
Bufo cryptotympanicus,1,2
Bufo eichwaldi,1,6
Bufo gargarizans,1,9
Bufo japonicus,1,10
Bufo kabischi,0,0
Bufo luchunnicus,0,0
Bufo menglianus,0,0
Bufo minshanicus,0,0
Bufo pageoti,0,0
Bufo pentoni,0,0
Bufo spinosus,1,6
Bufo stejnegeri,1,3
Bufo taxkorensis,0,0
Bufo tibetanus,1,5
Bufo tihamicus,0,0
Bufo torrenticola,1,6
Bufo tuberculatus,1,3
Bufo tuberospinius,1,2
Bufo verrucosissimus,1,9
Bufo wolongensis,0,0
Bufoides meghalayanus,0,0
Bufotes balearicus,1,2
Bufotes baturae,0,0
Bufotes boulengeri,1,2
Bufotes latastii,0,0
Bufotes luristanicus,0,0
Bufotes oblongus,1,3
Bufotes pewzowi,1,2
Bufotes pseudoraddei,0,0
Bufotes shaartusiensis,0,0
Bufotes siculus,1,2
Bufotes surdus,0,0
Bufotes turanensis,0,0
Bufotes variabilis,1,4
Bufotes viridis,1,9
Bufotes zamdaensis,0,0
Bufotes zugmayeri,0,0
Capensibufo rosei,1,3
Capensibufo tradouwi,1,3
Churamiti maridadi,1,6
Dendrophryniscus berthalutzae,1,3
Dendrophryniscus brevipollicatus,1,3
Dendrophryniscus carvalhoi,1,3
Dendrophryniscus krausae,1,3
Dendrophryniscus leucomystax,1,3
Dendrophryniscus oreites,1,3
Dendrophryniscus organensis,0,0
Dendrophryniscus proboscideus,1,3
Dendrophryniscus skuki,0,0
Dendrophryniscus stawiarskyi,0,0
Didynamipus sjostedti,1,2
Duttaphrynus atukoralei,1,5
Duttaphrynus beddomii,0,0
Duttaphrynus brevirostris,1,6
Duttaphrynus chandai,0,0
Duttaphrynus crocus,1,6
Duttaphrynus cyphosus,0,0
Duttaphrynus dhufarensis,1,5
Duttaphrynus dodsoni,0,0
Duttaphrynus himalayanus,1,7
Duttaphrynus hololius,1,6
Duttaphrynus kiphirensis,0,0
Duttaphrynus kotagamai,0,0
Duttaphrynus mamitensis,0,0
Duttaphrynus manipurensis,0,0
Duttaphrynus melanostictus,1,13
Duttaphrynus microtympanum,0,0
Duttaphrynus mizoramensis,0,0
Duttaphrynus nagalandensis,0,0
Duttaphrynus noellerti,0,0
Duttaphrynus olivaceus,0,0
Duttaphrynus parietalis,1,6
Duttaphrynus scaber,1,6
Duttaphrynus scorteccii,0,0
Duttaphrynus silentvalleyensis,0,0
Duttaphrynus stomaticus,1,7
Duttaphrynus stuarti,1,6
Duttaphrynus sumatranus,0,0
Duttaphrynus totol,0,0
Duttaphrynus valhallae,0,0
Duttaphrynus wokhaensis,0,0
Epidalea calamita,1,8
Frostius erythrophthalmus,1,2
Frostius pernambucensis,0,0
Ghatophryne ornata,1,4
Ghatophryne rubigina,0,0
Incilius alvarius,1,11
Incilius aucoinae,1,6
Incilius aurarius,0,0
Incilius bocourti,1,6
Incilius campbelli,1,6
Incilius canaliferus,1,6
Incilius cavifrons,1,6
Incilius chompipe,1,5
Incilius coccifer,1,7
Incilius coniferus,1,10
Incilius cristatus,1,6
Incilius cycladen,1,6
Incilius epioticus,0,0
Incilius fastidiosus,1,4
Incilius gemmifer,0,0
Incilius guanacaste,0,0
Incilius holdridgei,0,0
Incilius ibarrai,1,6
Incilius intermedius,0,0
Incilius karenlipsae,1,2
Incilius leucomyos,1,6
Incilius luetkenii,1,7
Incilius macrocristatus,1,6
Incilius majordomus,0,0
Incilius marmoreus,1,6
Incilius mazatlanensis,1,6
Incilius mccoyi,0,0
Incilius melanochlorus,1,6
Incilius nebulifer,1,9
Incilius occidentalis,1,8
Incilius periglenes,0,0
Incilius peripatetes,0,0
Incilius perplexus,1,6
Incilius pisinnus,1,6
Incilius porteri,1,6
Incilius signifer,1,6
Incilius spiculatus,1,6
Incilius tacanensis,1,6
Incilius tutelarius,1,6
Incilius valliceps,1,6
Ingerophrynus biporcatus,1,2
Ingerophrynus celebensis,1,3
Ingerophrynus claviger,0,0
Ingerophrynus divergens,1,10
Ingerophrynus galeatus,1,12
Ingerophrynus gollum,0,0
Ingerophrynus kumquat,0,0
Ingerophrynus ledongensis,0,0
Ingerophrynus macrotis,1,7
Ingerophrynus parvus,1,2
Ingerophrynus philippinicus,1,1
Ingerophrynus quadriporcatus,0,0
Laurentophryne parkeri,0,0
Leptophryne borbonica,1,9
Leptophryne cruentata,0,0
Melanophryniscus admirabilis,0,0
Melanophryniscus alipioi,0,0
Melanophryniscus atroluteus,0,0
Melanophryniscus cambaraensis,0,0
Melanophryniscus cupreuscapularis,0,0
Melanophryniscus devincenzii,1,3
Melanophryniscus dorsalis,0,0
Melanophryniscus estebani,0,0
Melanophryniscus fulvoguttatus,1,1
Melanophryniscus klappenbachi,1,7
Melanophryniscus krauczuki,0,0
Melanophryniscus langonei,0,0
Melanophryniscus macrogranulosus,0,0
Melanophryniscus montevidensis,0,0
Melanophryniscus moreirae,0,0
Melanophryniscus orejasmirandai,1,1
Melanophryniscus pachyrhynus,1,1
Melanophryniscus paraguayensis,0,0
Melanophryniscus peritus,0,0
Melanophryniscus rubriventris,1,2
Melanophryniscus sanmartini,0,0
Melanophryniscus setiba,1,4
Melanophryniscus simplex,0,0
Melanophryniscus spectabilis,0,0
Melanophryniscus stelzneri,1,8
Melanophryniscus tumifrons,0,0
Melanophryniscus vilavelhensis,0,0
Mertensophryne anotis,1,2
Mertensophryne howelli,0,0
Mertensophryne lindneri,1,4
Mertensophryne lonnbergi,0,0
Mertensophryne loveridgei,1,4
Mertensophryne melanopleura,0,0
Mertensophryne micranotis,1,7
Mertensophryne mocquardi,0,0
Mertensophryne nairobiensis,0,0
Mertensophryne nyikae,0,0
Mertensophryne schmidti,0,0
Mertensophryne taitana,1,3
Mertensophryne usambarae,0,0
Mertensophryne uzunguensis,1,6
Metaphryniscus sosai,0,0
Nannophryne apolobambica,0,0
Nannophryne cophotis,1,5
Nannophryne corynetes,0,0
Nannophryne variegata,1,5
Nectophryne afra,1,6
Nectophryne batesii,1,4
Nectophrynoides asperginis,0,0
Nectophrynoides cryptus,0,0
Nectophrynoides frontierei,0,0
Nectophrynoides laevis,0,0
Nectophrynoides laticeps,0,0
Nectophrynoides minutus,1,4
Nectophrynoides paulae,0,0
Nectophrynoides poyntoni,0,0
Nectophrynoides pseudotornieri,0,0
Nectophrynoides tornieri,1,11
Nectophrynoides vestergaardi,0,0
Nectophrynoides viviparus,1,6
Nectophrynoides wendyae,0,0
Nimbaphrynoides occidentalis,1,3
Oreophrynella cryptica,0,0
Oreophrynella dendronastes,0,0
Oreophrynella huberi,0,0
Oreophrynella macconnelli,1,2
Oreophrynella nigra,1,2
Oreophrynella quelchii,1,2
Oreophrynella seegobini,1,2
Oreophrynella vasquezi,1,2
Oreophrynella weiassipuensis,0,0
Osornophryne angel,1,3
Osornophryne antisana,1,3
Osornophryne bufoniformis,1,3
Osornophryne cofanorum,1,3
Osornophryne guacamayo,1,5
Osornophryne occidentalis,1,3
Osornophryne percrassa,1,1
Osornophryne puruanta,1,2
Osornophryne simpsoni,1,3
Osornophryne sumacoensis,1,3
Osornophryne talipes,0,0
Parapelophryne scalpta,0,0
Pedostibes everetti,0,0
Pedostibes hosii,1,11
Pedostibes kempi,0,0
Pedostibes rugosus,1,2
Pedostibes tuberculosus,1,6
Pelophryne albotaeniata,0,0
Pelophryne api,0,0
Pelophryne brevipes,1,2
Pelophryne guentheri,0,0
Pelophryne lighti,0,0
Pelophryne linanitensis,0,0
Pelophryne macrotis,0,0
Pelophryne misera,1,6
Pelophryne murudensis,0,0
Pelophryne rhopophilia,0,0
Pelophryne saravacensis,0,0
Pelophryne signata,1,6
Peltophryne cataulaciceps,1,2
Peltophryne empusa,1,3
Peltophryne florentinoi,1,2
Peltophryne fluviatica,0,0
Peltophryne fracta,0,0
Peltophryne fustiger,1,4
Peltophryne guentheri,1,3
Peltophryne gundlachi,1,4
Peltophryne lemur,1,6
Peltophryne longinasus,1,4
Peltophryne peltocephala,1,3
Peltophryne taladai,1,4
Phrynoidis aspera,1,9
Phrynoidis juxtaspera,1,8
Poyntonophrynus beiranus,0,0
Poyntonophrynus damaranus,1,2
Poyntonophrynus dombensis,1,3
Poyntonophrynus fenoulheti,1,2
Poyntonophrynus grandisonae,0,0
Poyntonophrynus hoeschi,1,1
Poyntonophrynus kavangensis,0,0
Poyntonophrynus lughensis,0,0
Poyntonophrynus parkeri,0,0
Poyntonophrynus vertebralis,0,0
Pseudobufo subasper,0,0
Rhaebo andinophrynoides,0,0
Rhaebo blombergi,0,0
Rhaebo caeruleostictus,0,0
Rhaebo ecuadorensis,0,0
Rhaebo glaberrimus,1,5
Rhaebo guttatus,1,8
Rhaebo haematiticus,1,10
Rhaebo hypomelas,0,0
Rhaebo lynchi,0,0
Rhaebo nasicus,1,5
Rhinella abei,1,3
Rhinella achalensis,0,0
Rhinella achavali,1,4
Rhinella acrolopha,0,0
Rhinella acutirostris,0,0
Rhinella alata,0,0
Rhinella amabilis,0,0
Rhinella amboroensis,1,4
Rhinella arborescandens,0,0
Rhinella arenarum,1,10
Rhinella arequipensis,1,5
Rhinella arunco,1,5
Rhinella atacamensis,1,5
Rhinella azarai,0,0
Rhinella bergi,0,0
Rhinella bernardoi,0,0
Rhinella castaneotica,1,6
Rhinella centralis,1,1
Rhinella ceratophrys,0,0
Rhinella cerradensis,1,2
Rhinella chavin,1,2
Rhinella chrysophora,0,0
Rhinella cristinae,0,0
Rhinella crucifer,1,7
Rhinella dapsilis,1,5
Rhinella diptycha,0,0
Rhinella dorbignyi,0,0
Rhinella fernandezae,0,0
Rhinella festae,1,4
Rhinella fissipes,0,0
Rhinella gallardoi,0,0
Rhinella gnustae,0,0
Rhinella granulosa,1,7
Rhinella henseli,1,3
Rhinella hoogmoedi,1,3
Rhinella humboldti,1,2
Rhinella icterica,1,8
Rhinella inca,0,0
Rhinella inopina,1,3
Rhinella iserni,0,0
Rhinella jimi,1,4
Rhinella justinianoi,0,0
Rhinella leptoscelis,0,0
Rhinella lescurei,1,3
Rhinella limensis,1,4
Rhinella lindae,0,0
Rhinella macrorhina,1,2
Rhinella magnussoni,0,0
Rhinella major,1,1
Rhinella manu,1,2
Rhinella margaritifera,1,10
Rhinella marina,1,10
Rhinella martyi,1,3
Rhinella merianae,1,2
Rhinella mirandaribeiroi,1,1
Rhinella multiverrucosa,0,0
Rhinella nattereri,0,0
Rhinella nesiotes,1,5
Rhinella nicefori,0,0
Rhinella ocellata,1,5
Rhinella ornata,1,3
Rhinella paraguayensis,0,0
Rhinella poeppigii,1,7
Rhinella pombali,1,3
Rhinella proboscidea,0,0
Rhinella pygmaea,0,0
Rhinella quechua,0,0
Rhinella roqueana,0,0
Rhinella rostrata,1,2
Rhinella rubescens,1,6
Rhinella rubropunctata,0,0
Rhinella ruizi,0,0
Rhinella rumbolli,0,0
Rhinella schneideri,1,10
Rhinella scitula,0,0
Rhinella sclerocephala,0,0
Rhinella spinulosa,1,8
Rhinella stanlaii,0,0
Rhinella sternosignata,0,0
Rhinella tacana,0,0
Rhinella tenrec,0,0
Rhinella truebae,0,0
Rhinella vellardi,1,5
Rhinella veraguensis,1,5
Rhinella veredas,1,2
Rhinella yanachaga,1,1
Rhinella yunga,1,1
Sabahphrynus maculatus,1,2
Schismaderma carens,1,9
Strauchbufo raddei,1,3
Truebella skoptes,0,0
Truebella tothastes,0,0
Vandijkophrynus amatolicus,1,2
Vandijkophrynus angusticeps,1,2
Vandijkophrynus gariepensis,1,3
Vandijkophrynus inyangae,1,2
Vandijkophrynus robinsoni,1,4
Werneria bambutensis,1,1
Werneria iboundji,0,0
Werneria mertensiana,1,5
Werneria preussi,0,0
Werneria submontana,0,0
Werneria tandyi,1,1
Wolterstorffina chirioi,0,0
Wolterstorffina mirei,0,0
Wolterstorffina parvipalmata,1,9
Xanthophryne koynayensis,1,6
Xanthophryne tigerina,0,0
Calyptocephalella gayi,1,12
Telmatobufo australis,1,1
Telmatobufo bullocki,1,2
Telmatobufo venustus,1,5
Centrolene acanthidiocephalum,0,0
Centrolene altitudinale,1,8
Centrolene antioquiense,1,8
Centrolene audax,1,3
Centrolene azulae,0,0
Centrolene bacatum,1,8
Centrolene ballux,1,3
Centrolene buckleyi,1,6
Centrolene condor,1,3
Centrolene daidaleum,1,8
