Name,Genes,Length
Amphisbaena absaberi,0,0
Amphisbaena acrobeles,0,0
Amphisbaena alba,7,5203
Amphisbaena albocingulata,0,0
Amphisbaena amazonica,0,0
Amphisbaena anaemariae,5,3135
Amphisbaena angustifrons,5,3139
Amphisbaena anomala,5,3136
Amphisbaena arda,0,0
Amphisbaena arenaria,0,0
Amphisbaena bahiana,0,0
Amphisbaena bakeri,2,2229
Amphisbaena barbouri,2,2218
Amphisbaena bassleri,0,0
Amphisbaena bedai,0,0
Amphisbaena bilabialatus,0,0
Amphisbaena bolivica,5,3101
Amphisbaena borelli,0,0
Amphisbaena brasiliana,5,3137
Amphisbaena brevis,0,0
Amphisbaena caeca,6,4851
Amphisbaena caiari,5,2843
Amphisbaena camura,5,3352
Amphisbaena carlgansi,2,2194
Amphisbaena carli,0,0
Amphisbaena carvalhoi,0,0
Amphisbaena caudalis,0,0
Amphisbaena cayemite,0,0
Amphisbaena cegei,0,0
Amphisbaena cerradensis,0,0
Amphisbaena crisae,0,0
Amphisbaena cubana,9,6143
Amphisbaena cuiabana,5,3140
Amphisbaena cunhai,5,3139
Amphisbaena darwini,5,3137
Amphisbaena dubia,0,0
Amphisbaena fenestrata,2,2175
Amphisbaena frontalis,0,0
Amphisbaena fuliginosa,9,5888
Amphisbaena gonavensis,0,0
Amphisbaena gracilis,0,0
Amphisbaena hastata,5,3137
Amphisbaena heathi,0,0
Amphisbaena heterozonata,0,0
Amphisbaena hiata,0,0
Amphisbaena hogei,0,0
Amphisbaena hyporissor,2,2224
Amphisbaena ibijara,0,0
Amphisbaena ignatiana,5,3138
Amphisbaena infraorbitale,5,3136
Amphisbaena innocens,2,2235
Amphisbaena kingii,5,3136
Amphisbaena kisteumacheri,0,0
Amphisbaena kraoh,5,3144
Amphisbaena leali,2,2199
Amphisbaena leeseri,5,3133
Amphisbaena leucocephala,0,0
Amphisbaena littoralis,0,0
Amphisbaena lumbricalis,0,0
Amphisbaena manni,2,2227
Amphisbaena maranhensis,0,0
Amphisbaena maximus,0,0
Amphisbaena medemi,0,0
Amphisbaena mensae,0,0
Amphisbaena mertensii,5,3146
Amphisbaena microcephalum,5,3025
Amphisbaena miringoera,0,0
Amphisbaena mitchelli,0,0
Amphisbaena munoai,5,3136
Amphisbaena myersi,0,0
Amphisbaena neglecta,0,0
Amphisbaena nigricauda,0,0
Amphisbaena occidentalis,0,0
Amphisbaena octostegum,0,0
Amphisbaena pericensis,0,0
Amphisbaena persephone,0,0
Amphisbaena plumbea,0,0
Amphisbaena polygrammica,0,0
Amphisbaena polystegum,5,3138
Amphisbaena pretrei,0,0
Amphisbaena prunicolor,0,0
Amphisbaena ridleyi,0,0
Amphisbaena roberti,5,3146
Amphisbaena rozei,0,0
Amphisbaena sanctaeritae,0,0
Amphisbaena saxosa,5,3143
Amphisbaena schmidti,10,9743
Amphisbaena scutigerum,0,0
Amphisbaena silvestrii,5,3135
Amphisbaena slateri,0,0
Amphisbaena slevini,0,0
Amphisbaena spurelli,0,0
Amphisbaena steindachneri,0,0
Amphisbaena stejnegeri,0,0
Amphisbaena supernumeraria,0,0
Amphisbaena talisiae,0,0
Amphisbaena townsendi,0,0
Amphisbaena trachura,0,0
Amphisbaena tragorrhectes,0,0
Amphisbaena uroxena,0,0
Amphisbaena vanzolinii,0,0
Amphisbaena varia,0,0
Amphisbaena vermicularis,5,3145
Amphisbaena wiedi,0,0
Amphisbaena wuchereri,0,0
Amphisbaena xera,6,6443
Ancylocranium barkeri,0,0
Ancylocranium ionidesi,0,0
Ancylocranium somalicum,0,0
Baikia africana,0,0
Chirindia ewerbecki,0,0
Chirindia langi,0,0
Chirindia mpwapwaensis,0,0
Chirindia rondoensis,0,0
Chirindia swynnertoni,4,1841
Cynisca bifrontalis,0,0
Cynisca degrysi,0,0
Cynisca feae,0,0
Cynisca gansi,0,0
Cynisca haugi,0,0
Cynisca kigomensis,0,0
Cynisca kraussi,3,1536
Cynisca leonina,0,0
Cynisca leucura,2,813
Cynisca liberiensis,0,0
Cynisca muelleri,0,0
Cynisca nigeriensis,0,0
Cynisca oligopholis,0,0
Cynisca rouxae,0,0
Cynisca schaeferi,0,0
Cynisca senegalensis,0,0
Cynisca williamsi,0,0
Dalophia angolensis,0,0
Dalophia ellenbergeri,4,2170
Dalophia gigantea,0,0
Dalophia longicauda,0,0
Dalophia luluae,0,0
Dalophia pistillum,4,2113
Geocalamus acutus,14,12459
Geocalamus modestus,0,0
Loveridgea ionidesii,0,0
Loveridgea phylofiniens,0,0
Mesobaena huebneri,0,0
Mesobaena rhachicephala,0,0
Monopeltis adercae,0,0
Monopeltis anchietae,0,0
Monopeltis capensis,4,1842
Monopeltis decosteri,0,0
Monopeltis galeata,0,0
Monopeltis guentheri,0,0
Monopeltis infuscata,0,0
Monopeltis jugularis,0,0
Monopeltis kabindae,0,0
Monopeltis leonhardi,0,0
Monopeltis luandae,0,0
Monopeltis perplexus,0,0
Monopeltis remaclei,0,0
Monopeltis rhodesiana,0,0
Monopeltis scalper,0,0
Monopeltis schoutedeni,0,0
Monopeltis sphenorhynchus,3,1509
Monopeltis vanderysti,0,0
Monopeltis welwitschii,0,0
Monopeltis zambezensis,0,0
Zygaspis dolichomenta,0,0
Zygaspis ferox,0,0
Zygaspis kafuensis,0,0
Zygaspis nigra,4,2170
Zygaspis quadrifrons,4,2170
Zygaspis vandami,4,2170
Zygaspis violacea,0,0
Bipes biporus,15,14233
Bipes canaliculatus,14,12585
Bipes tridactylus,7,8201
Blanus alexandri,2,1197
Blanus aporus,2,1197
Blanus cinereus,10,10143
Blanus mariae,2,1133
Blanus mettetali,2,1095
Blanus strauchi,12,9128
Blanus tingitanus,4,2443
Cadea blanoides,9,6630
Cadea palirostrata,0,0
Rhineura floridana,17,16153
Agamodon anguliceps,2,813
Agamodon arabicus,0,0
Agamodon compressus,0,0
Diplometopon zarudnyi,14,11964
Pachycalamus brevis,0,0
Trogonophis wiegmanni,14,11458
Sphenodon punctatus,17,15488
Acanthocercus adramitanus,0,0
Acanthocercus annectens,7,4720
Acanthocercus atricollis,5,2829
Acanthocercus branchi,0,0
Acanthocercus cyanogaster,5,2734
Acanthocercus guentherpetersi,0,0
Acanthocercus phillipsii,0,0
Acanthocercus yemensis,6,4023
Agama aculeata,6,3334
Agama africana,4,2154
Agama agama,11,7426
Agama anchietae,8,5501
Agama armata,5,2855
Agama atra,8,4368
Agama bocourti,0,0
Agama boensis,4,2203
Agama bottegi,5,2797
Agama boueti,5,2872
Agama boulengeri,5,2779
Agama caudospinosa,4,2177
Agama cristata,1,502
Agama doriae,5,2774
Agama etoshae,3,1510
Agama finchi,4,2129
Agama gracilimembris,4,2168
Agama hartmanni,2,1182
Agama hispida,5,2834
Agama impalearis,9,5042
Agama insularis,5,2855
Agama kaimosae,2,1179
Agama kirkii,4,2200
Agama knobeli,0,0
Agama lanzai,0,0
Agama lebretoni,5,2851
Agama lionotus,7,5079
Agama lucyae,0,0
Agama montana,5,2855
Agama mossambica,1,426
Agama mucosoensis,0,0
Agama mwanzae,2,854
Agama parafricana,5,2824
Agama paragama,1,499
Agama persimilis,0,0
Agama planiceps,6,3265
Agama rueppelli,5,2855
Agama sankaranica,4,2204
Agama somalica,0,0
Agama spinosa,5,2844
Agama sylvana,0,0
Agama tassiliensis,3,1516
Agama turuensis,1,501
Agama weidholzi,5,2866
Agama robecchii,3,1596
Brachysaura minor,0,0
Bufoniceps laungwalaensis,2,1086
Laudakia agrorensis,0,0
Laudakia dayana,0,0
Laudakia melanura,0,0
Laudakia nupta,4,2287
Laudakia nuristanica,0,0
Laudakia pakistanica,0,0
Laudakia papenfussi,0,0
Laudakia sacra,2,1086
Laudakia tuberculata,2,1086
Laudakia wui,0,0
Paralaudakia badakhshana,0,0
Paralaudakia bochariensis,0,0
Paralaudakia caucasia,9,5178
Paralaudakia erythrogaster,2,1086
Paralaudakia himalayana,3,1644
Paralaudakia lehmanni,6,3924
Paralaudakia microlepis,4,2394
Paralaudakia stoliczkana,6,3371
Phrynocephalus ahvazicus,0,0
Phrynocephalus ananjevae,0,0
Phrynocephalus arabicus,3,2358
Phrynocephalus axillaris,9,7988
Phrynocephalus clarkorum,0,0
Phrynocephalus erythrurus,9,6203
Phrynocephalus euptilopus,0,0
Phrynocephalus forsythii,9,5768
Phrynocephalus golubewii,0,0
Phrynocephalus guttatus,7,4755
Phrynocephalus helioscopus,8,5069
Phrynocephalus interscapularis,5,2715
Phrynocephalus luteoguttatus,0,0
Phrynocephalus maculatus,4,2553
Phrynocephalus mystaceus,14,11428
Phrynocephalus ornatus,4,2643
Phrynocephalus persicus,4,2655
Phrynocephalus przewalskii,9,8353
Phrynocephalus putjatai,9,6907
Phrynocephalus raddei,6,5556
Phrynocephalus reticulatus,4,2646
Phrynocephalus roborowskii,0,0
Phrynocephalus rossikowi,0,0
Phrynocephalus scutellatus,5,3144
Phrynocephalus strauchi,3,2352
Phrynocephalus theobaldi,9,5880
Phrynocephalus versicolor,8,4791
Phrynocephalus vlangalii,9,5386
Pseudotrapelus aqabensis,2,1869
Pseudotrapelus dhofarensis,2,1869
Pseudotrapelus jensvindumi,2,1869
Pseudotrapelus sinaitus,11,10063
Stellagama stellio,10,5274
Trapelus agilis,8,4790
Trapelus agnetae,1,429
Trapelus boehmei,5,2853
Trapelus flavimaculatus,1,1017
Trapelus jayakari,0,0
Trapelus megalonyx,0,0
Trapelus mutabilis,4,2800
Trapelus rubrigularis,0,0
Trapelus ruderatus,4,4386
Trapelus sanguinolentus,7,4182
Trapelus savignii,3,1584
Trapelus schmitzi,0,0
Trapelus tournevillei,0,0
Xenagama batillifera,4,2573
Xenagama taylori,11,10135
Xenagama wilmsi,2,1728
Xenagama zonura,0,0
Amphibolurus muricatus,7,5208
Amphibolurus norrisi,6,4437
Chelosania brunnea,7,4743
Chlamydosaurus kingii,13,11794
Cryptagama aurita,0,0
Ctenophorus adelaidensis,8,5386
Ctenophorus butlerorum,2,1086
Ctenophorus caudicinctus,5,4080
Ctenophorus chapmani,2,1086
Ctenophorus clayi,4,2706
Ctenophorus cristatus,4,2688
Ctenophorus decresii,4,2712
Ctenophorus femoralis,2,1086
Ctenophorus fionni,2,1086
Ctenophorus fordi,4,2703
Ctenophorus gibba,4,2688
Ctenophorus isolepis,8,5497
Ctenophorus maculatus,2,1086
Ctenophorus maculosus,2,1086
Ctenophorus mckenziei,4,2697
Ctenophorus mirrityana,0,0
Ctenophorus nguyarna,0,0
Ctenophorus nuchalis,4,2724
Ctenophorus ornatus,4,3036
Ctenophorus parviceps,2,1086
Ctenophorus pictus,4,2709
Ctenophorus reticulatus,2,1086
Ctenophorus rufescens,2,1086
Ctenophorus salinarum,3,3921
Ctenophorus scutulatus,2,1086
Ctenophorus tjantjalka,2,1086
Ctenophorus vadnappa,4,2703
Ctenophorus yinnietharra,0,0
Diporiphora adductus,0,0
Diporiphora albilabris,5,3906
Diporiphora ameliae,0,0
Diporiphora amphiboluroides,4,2694
Diporiphora arnhemica,2,1083
Diporiphora australis,3,2451
Diporiphora bennettii,5,3876
Diporiphora bilineata,5,3933
Diporiphora convergens,0,0
Diporiphora lalliae,5,3906
Diporiphora linga,2,1086
Diporiphora magna,3,2316
Diporiphora margaretae,0,0
Diporiphora nobbi,5,4068
Diporiphora paraconvergens,0,0
Diporiphora phaeospinosa,2,2307
Diporiphora pindan,3,2280
Diporiphora reginae,4,2709
Diporiphora superba,2,2199
Diporiphora valens,2,2205
Diporiphora vescus,0,0
Diporiphora winneckei,5,4086
Hypsilurus auritus,0,0
Hypsilurus binotatus,0,0
Hypsilurus boydii,8,5521
Hypsilurus bruijnii,4,2712
Hypsilurus capreolatus,0,0
Hypsilurus dilophus,4,2709
Hypsilurus geelvinkianus,0,0
Hypsilurus godeffroyi,0,0
Hypsilurus hikidanus,0,0
Hypsilurus longi,0,0
Hypsilurus macrolepis,0,0
Hypsilurus magnus,0,0
Hypsilurus modestus,4,2679
Hypsilurus nigrigularis,3,2472
Hypsilurus ornatus,0,0
Hypsilurus papuensis,2,1086
Hypsilurus schoedei,0,0
Hypsilurus schultzewestrumi,0,0
Hypsilurus spinipes,4,2715
Hypsilurus tenuicephalus,0,0
Intellagama lesueurii,10,8152
Lophognathus longirostris,5,4050
Lophognathus maculilabris,0,0
Lophognathus temporalis,6,4473
Lophognathus burnsi,2,2391
Lophognathus gilberti,5,4065
Moloch horridus,8,5905
Physignathus cocincinus,12,9584
Pogona barbata,5,4068
Pogona henrylawsoni,3,2469
Pogona microlepidota,0,0
Pogona minima,2,1086
Pogona minor,3,2469
Pogona mitchelli,2,1086
Pogona nullarbor,3,2469
Pogona vitticeps,14,12454
Rankinia diemensis,5,4071
Tympanocryptis centralis,3,2310
Tympanocryptis cephalus,3,2307
Tympanocryptis houstoni,3,2313
Tympanocryptis intima,3,2313
Tympanocryptis lineata,5,3912
Tympanocryptis pinguicolla,4,2991
Tympanocryptis tetraporophora,6,4421
Tympanocryptis uniformis,2,2208
Acanthosaura armata,7,8016
Acanthosaura bintangensis,0,0
Acanthosaura brachypoda,0,0
Acanthosaura capra,3,1980
Acanthosaura cardamomensis,1,696
Acanthosaura coronata,0,0
Acanthosaura crucigera,4,2359
Acanthosaura lepidogaster,8,5095
Acanthosaura nataliae,0,0
Acanthosaura titiwangsaensis,0,0
Aphaniotis acutirostris,0,0
Aphaniotis fusca,4,1847
Aphaniotis ornata,0,0
Bronchocela celebensis,0,0
Bronchocela cristatella,4,1956
Bronchocela danieli,0,0
Bronchocela hayeki,0,0
Bronchocela jubata,0,0
Bronchocela marmorata,0,0
Bronchocela orlovi,0,0
Bronchocela rubrigularis,0,0
Bronchocela smaragdina,0,0
Bronchocela vietnamensis,0,0
Calotes aurantolabium,0,0
Calotes bachae,0,0
Calotes bhutanensis,0,0
Calotes calotes,4,4962
Calotes ceylonensis,2,1074
Calotes chincollium,2,1077
Calotes desilvai,0,0
Calotes ellioti,0,0
Calotes emma,8,4791
Calotes grandisquamis,0,0
Calotes htunwini,2,1074
Calotes irawadi,2,1074
Calotes jerdoni,2,1077
Calotes liocephalus,2,1074
Calotes liolepis,2,1074
Calotes manamendrai,0,0
Calotes maria,0,0
Calotes medogensis,0,0
Calotes mystaceus,3,1734
Calotes nemoricola,0,0
Calotes nigrilabris,2,1074
Calotes nigriplicatus,0,0
Calotes pethiyagodai,0,0
Calotes rouxii,0,0
Calotes versicolor,12,10685
Ceratophora aspera,2,1083
Ceratophora erdeleni,2,1083
Ceratophora karu,2,1083
Ceratophora stoddartii,2,1083
Ceratophora tennentii,2,1083
Complicitus nigrigularis,0,0
Cophotis ceylanica,2,1083
Cophotis dumbara,2,1083
Coryphophylax brevicaudus,0,0
Coryphophylax subcristatus,2,913
Dendragama boulengeri,0,0
Draco abbreviatus,0,0
Draco beccarii,1,1014
Draco biaro,1,1014
Draco bimaculatus,1,1014
Draco blanfordii,9,5299
Draco boschmai,1,1014
Draco bourouniensis,1,1014
Draco caerulhians,1,1014
Draco cornutus,3,1760
Draco cristatellus,1,1014
Draco cyanopterus,1,1014
Draco dussumieri,2,757
Draco fimbriatus,1,1014
Draco formosus,1,1008
Draco guentheri,1,1014
Draco haematopogon,3,1768
Draco indochinensis,1,1014
Draco iskandari,0,0
Draco jareckii,0,0
Draco lineatus,2,753
Draco maculatus,4,2423
Draco maximus,3,1766
Draco melanopogon,3,1768
Draco mindanensis,1,1014
Draco modiglianii,0,0
Draco norvillii,0,0
Draco obscurus,3,1760
Draco ornatus,1,1014
Draco palawanensis,1,1014
Draco quadrasi,1,1014
Draco quinquefasciatus,3,1768
Draco reticulatus,1,1014
Draco rhytisma,1,1014
Draco spilonotus,1,1014
Draco spilopterus,1,1014
Draco sumatranus,1,1014
Draco supriatnai,0,0
Draco taeniopterus,3,1760
Draco timorensis,1,1014
Draco volans,4,2482
Draco walkeri,0,0
Gonocephalus abbotti,0,0
Gonocephalus bellii,0,0
Gonocephalus beyschlagi,0,0
Gonocephalus bornensis,2,745
Gonocephalus chamaeleontinus,3,1692
Gonocephalus doriae,0,0
Gonocephalus grandis,5,2193
Gonocephalus interruptus,0,0
Gonocephalus klossi,0,0
Gonocephalus kuhlii,2,1614
Gonocephalus lacunosus,0,0
Gonocephalus liogaster,0,0
Gonocephalus megalepis,0,0
Gonocephalus mjobergi,0,0
Gonocephalus semperi,0,0
Gonocephalus sophiae,0,0
Gonocephalus robinsonii,2,747
Harpesaurus beccarii,0,0
Harpesaurus borneensis,0,0
Harpesaurus ensicauda,0,0
Harpesaurus modiglianii,0,0
Harpesaurus tricinctus,0,0
Hypsicalotes kinabaluensis,0,0
Japalura andersoniana,0,0
Japalura batangensis,0,0
Japalura brevicauda,0,0
Japalura brevipes,0,0
Japalura chapaensis,0,0
Japalura dymondi,0,0
Japalura fasciata,0,0
Japalura flaviceps,2,1080
Japalura grahami,0,0
Japalura hamptoni,0,0
Japalura luei,0,0
Japalura makii,0,0
Japalura micangshanensis,0,0
Japalura otai,0,0
Japalura planidorsata,0,0
Japalura polygonata,0,0
Japalura sagittifera,0,0
Japalura splendida,3,1794
Japalura swinhonis,0,0
Japalura varcoae,0,0
Japalura yulongensis,0,0
Japalura yunnanensis,0,0
Japalura zhaoermii,0,0
Japalura dasi,0,0
Japalura kumaonensis,0,0
Japalura major,0,0
Japalura tricarinata,3,3921
Japalura variegata,2,1083
Lophocalotes ludekingi,0,0
Lyriocephalus scutatus,2,1083
Mantheyus phuwuanensis,5,4663
Oriocalotes paulus,0,0
Otocryptis beddomei,0,0
Otocryptis nigristigma,0,0
Otocryptis wiegmanni,2,1074
Phoxophrys borneensis,0,0
Phoxophrys cephalum,0,0
Phoxophrys nigrilabris,2,762
Phoxophrys spiniceps,0,0
Phoxophrys tuberculata,0,0
Psammophilus blanfordanus,0,0
Psammophilus dorsalis,0,0
Pseudocalotes andamanensis,0,0
Pseudocalotes austeniana,0,0
Pseudocalotes brevipes,3,1977
Pseudocalotes cybelidermus,0,0
Pseudocalotes dringi,0,0
Pseudocalotes flavigula,2,1077
Pseudocalotes floweri,0,0
Pseudocalotes guttalineatus,0,0
Pseudocalotes kakhienensis,2,1080
Pseudocalotes khaonanensis,0,0
Pseudocalotes kingdonwardi,0,0
Pseudocalotes larutensis,0,0
Pseudocalotes microlepis,0,0
Pseudocalotes poilani,0,0
Pseudocalotes rhammanotus,0,0
Pseudocalotes saravacensis,0,0
Pseudocalotes tympanistriga,0,0
Pseudocalotes ziegleri,0,0
Pseudocophotis kontumensis,0,0
Pseudocophotis sumatrana,0,0
Ptyctolaemus collicristatus,2,1083
Ptyctolaemus gularis,2,1080
Salea anamallayana,0,0
Salea gularis,0,0
Salea horsfieldii,2,1083
Sitana fusca,0,0
Sitana ponticeriana,2,1080
Sitana schleichi,0,0
Sitana sivalensis,0,0
Thaumatorhynchus brooksi,0,0
Hydrosaurus amboinensis,7,8111
Hydrosaurus pustulatus,2,1576
Hydrosaurus weberi,3,1861
Leiolepis belliana,13,11022
Leiolepis boehmei,9,9228
Leiolepis guentherpetersi,5,3216
Leiolepis guttata,7,8170
Leiolepis ngovantrii,0,0
Leiolepis peguensis,0,0
Leiolepis reevesii,9,9620
Leiolepis rubritaeniata,0,0
Leiolepis triploida,0,0
Saara asmussi,1,530
Saara hardwickii,9,6299
Saara loricata,1,539
Uromastyx acanthinura,9,7289
Uromastyx aegyptia,6,4067
Uromastyx alfredschmidti,0,0
Uromastyx benti,8,10987
Uromastyx dispar,4,2567
Uromastyx geyri,4,2774
Uromastyx macfadyeni,3,2145
Uromastyx nigriventris,2,946
Uromastyx occidentalis,0,0
Uromastyx ocellata,3,2151
Uromastyx ornata,4,2575
Uromastyx princeps,1,528
Uromastyx shobraki,1,523
Uromastyx thomasi,1,522
Uromastyx yemenensis,1,523
Anguis cephallonica,3,2115
Anguis colchica,4,2901
Anguis fragilis,13,11437
Anguis graeca,3,2115
Anguis incomptus,0,0
Anguis veronensis,3,2115
Dopasia buettikoferi,0,0
Dopasia gracilis,4,3628
Dopasia hainanensis,0,0
Dopasia harti,7,7643
Dopasia ludovici,0,0
Dopasia sokolovi,0,0
Dopasia wegneri,0,0
Ophisaurus attenuatus,7,8451
Ophisaurus ceroni,0,0
Ophisaurus compressus,0,0
Ophisaurus koellikeri,3,1422
Ophisaurus mimicus,0,0
Ophisaurus ventralis,3,1617
Pseudopus apodus,11,7735
Celestus adercus,0,0
Celestus bivittatus,0,0
Celestus cyanochloris,0,0
Celestus enneagrammus,8,7068
Celestus hylaius,0,0
Celestus montanus,0,0
Celestus orobius,0,0
Celestus rozellae,0,0
Celestus scansorius,0,0
Celestus agasepsoides,2,1395
Celestus anelpistus,0,0
Celestus badius,0,0
Celestus barbouri,0,0
Celestus carraui,0,0
Celestus costatus,0,0
Celestus crusculus,0,0
Celestus curtissi,0,0
Celestus darlingtoni,0,0
Celestus duquesneyi,0,0
Celestus fowleri,0,0
Celestus haetianus,2,1395
Celestus hewardi,0,0
Celestus macrotus,0,0
Celestus marcanoi,0,0
Celestus microblepharis,0,0
Celestus occiduus,0,0
Celestus sepsoides,0,0
Celestus stenurus,0,0
Celestus warreni,0,0
Diploglossus atitlanensis,0,0
Diploglossus bilobatus,2,1395
Diploglossus fasciatus,0,0
Diploglossus ingridae,0,0
Diploglossus legnotus,0,0
Diploglossus lessonae,0,0
Diploglossus microcephalus,0,0
Diploglossus microlepis,0,0
Diploglossus millepunctatus,0,0
Diploglossus monotropis,0,0
Diploglossus montisilvestris,0,0
Diploglossus owenii,0,0
Diploglossus delasagra,0,0
Diploglossus garridoi,0,0
Diploglossus montisserrati,0,0
Diploglossus nigropunctatus,0,0
Diploglossus pleii,2,1395
Ophiodes fragilis,0,0
Ophiodes intermedius,0,0
Ophiodes striatus,2,1395
Ophiodes vertebralis,0,0
Ophiodes yacupoi,0,0
Abronia anzuetoi,2,728
Abronia aurita,2,730
Abronia bogerti,0,0
Abronia campbelli,2,695
Abronia chiszari,1,696
Abronia deppii,0,0
Abronia fimbriata,2,721
Abronia frosti,2,738
Abronia fuscolabialis,0,0
Abronia gaiophantasma,0,0
Abronia graminea,10,8911
Abronia leurolepis,0,0
Abronia lythrochila,2,692
Abronia martindelcampoi,0,0
Abronia matudai,2,723
Abronia meledona,0,0
Abronia mitchelli,0,0
Abronia mixteca,2,715
Abronia montecristoi,0,0
Abronia oaxacae,2,1395
Abronia ochoterenai,0,0
Abronia ornelasi,2,706
Abronia ramirezi,0,0
Abronia reidi,0,0
Abronia salvadorensis,0,0
Abronia smithi,0,0
Abronia taeniata,0,0
Abronia vasconcelosii,0,0
Barisia ciliaris,0,0
Barisia herrerae,1,696
Barisia imbricata,8,4686
Barisia levicollis,2,1200
Barisia rudicollis,1,696
Coloptychon rhombifer,2,708
Elgaria cedrosensis,0,0
Elgaria coerulea,5,3306
Elgaria kingii,7,4097
Elgaria multicarinata,13,8087
Elgaria panamintina,3,4233
Elgaria paucicarinata,3,2076
Elgaria velazquezi,0,0
Gerrhonotus farri,0,0
Gerrhonotus infernalis,5,3033
Gerrhonotus liocephalus,5,2247
Gerrhonotus lugoi,0,0
Gerrhonotus ophiurus,0,0
Gerrhonotus parvus,1,510
Mesaspis antauges,0,0
Mesaspis gadovii,3,1432
Mesaspis juarezi,0,0
Mesaspis monticola,0,0
Mesaspis moreletii,0,0
Mesaspis viridiflava,0,0
Anniella alexanderae,0,0
Anniella campi,0,0
Anniella geronimensis,3,2151
Anniella grinnelli,0,0
Anniella pulchra,12,10573
Anniella stebbinsi,0,0
Carphodactylus laevis,9,5565
Nephrurus amyae,3,3189
Nephrurus asper,3,3048
Nephrurus deleani,3,2175
Nephrurus laevissimus,4,3348
Nephrurus levis,7,3789
Nephrurus sheai,3,3189
Nephrurus stellatus,3,3048
Nephrurus vertebralis,4,3351
Nephrurus wheeleri,4,3087
Orraya occultus,3,2457
Phyllurus amnicola,1,942
Phyllurus caudiannulatus,0,0
Phyllurus championae,0,0
Phyllurus gulbaru,0,0
Phyllurus isis,0,0
Phyllurus kabikabi,2,2667
Phyllurus nepthys,0,0
Phyllurus ossa,0,0
Phyllurus platurus,5,3888
Saltuarius cornutus,9,6214
Saltuarius eximius,0,0
Saltuarius kateae,1,390
Saltuarius moritzi,1,393
Saltuarius salebrosus,1,393
Saltuarius swaini,7,4939
Saltuarius wyberba,2,1335
Underwoodisaurus milii,8,5177
Underwoodisaurus seorsus,0,0
Uvidicolus sphyrurus,7,4039
Brookesia ambreensis,8,5641
Brookesia antakarana,8,5638
Brookesia bekolosy,0,0
Brookesia betschi,8,5583
Brookesia bonsi,1,717
Brookesia brunoi,1,570
Brookesia brygooi,12,8101
Brookesia confidens,4,2638
Brookesia decaryi,10,9000
Brookesia dentata,6,4813
Brookesia desperata,5,3530
Brookesia ebenaui,8,5584
Brookesia exarmata,8,5631
Brookesia griveaudi,8,5496
Brookesia karchei,8,5470
Brookesia lambertoni,0,0
Brookesia lineata,7,5508
Brookesia micra,6,3854
Brookesia minima,9,6239
Brookesia perarmata,8,5543
Brookesia peyrierasi,9,5878
Brookesia ramanantsoai,8,5551
Brookesia stumpffi,8,5540
Brookesia superciliaris,12,7915
Brookesia therezieni,10,6166
Brookesia thieli,9,7652
Brookesia tristis,6,4334
Brookesia tuberculata,8,5415
Brookesia vadoni,8,5565
Brookesia valerieae,1,717
Palleon lolontany,1,717
Palleon nasus,9,6282
Archaius tigris,7,5581
Bradypodion atromontanum,6,3659
Bradypodion caeruleogula,6,4000
Bradypodion caffer,6,3769
Bradypodion damaranum,7,4958
Bradypodion dracomontanum,4,2547
Bradypodion gutturale,6,3890
Bradypodion kentanicum,6,3883
Bradypodion melanocephalum,6,3823
Bradypodion nemorale,6,4141
Bradypodion ngomeense,6,4042
Bradypodion occidentale,8,5642
Bradypodion pumilum,8,5015
Bradypodion setaroi,5,2854
Bradypodion taeniabronchum,5,3385
Bradypodion thamnobates,6,3931
Bradypodion transvaalense,7,4269
Bradypodion ventrale,7,3912
Calumma amber,7,5590
Calumma andringitraense,7,5500
Calumma boettgeri,8,5541
Calumma brevicorne,9,7676
Calumma crypticum,7,5710
Calumma cucullatum,8,5403
Calumma fallax,3,1743
Calumma furcifer,8,5504
Calumma gallus,7,5097
Calumma gastrotaenia,9,6466
Calumma glawi,7,5428
Calumma guibei,6,3630
Calumma guillaumeti,7,5660
Calumma hafahafa,7,4034
Calumma hilleniusi,9,6192
Calumma jejy,0,0
Calumma malthe,8,6277
Calumma marojezense,5,3042
Calumma nasutum,9,6448
Calumma peltierorum,7,5554
Calumma peyrierasi,6,3459
Calumma tarzan,7,4592
Calumma tsaratananense,7,4343
Calumma tsycorne,0,0
Calumma vatosoa,0,0
Calumma vencesi,7,4949
Calumma vohibola,5,3042
Calumma ambreense,7,5645
Calumma capuroni,8,6342
Calumma globifer,8,5660
Calumma oshaughnessyi,8,5522
Calumma parsonii,10,9058
Chamaeleo africanus,10,9946
Chamaeleo anchietae,6,3834
Chamaeleo arabicus,10,10544
Chamaeleo calcaricarens,9,9321
Chamaeleo calyptratus,14,11744
Chamaeleo chamaeleon,8,8702
Chamaeleo dilepis,10,10809
Chamaeleo gracilis,7,3893
Chamaeleo laevigatus,2,828
Chamaeleo monachus,10,10238
Chamaeleo namaquensis,8,5554
Chamaeleo necasi,5,2706
Chamaeleo senegalensis,6,3756
Chamaeleo zeylanicus,10,10724
Furcifer angeli,1,717
Furcifer antimena,6,3817
Furcifer balteatus,9,6343
Furcifer belalandaensis,5,3939
Furcifer bifidus,2,1380
Furcifer campani,8,5789
Furcifer cephalolepis,9,6192
Furcifer labordi,8,5409
Furcifer lateralis,9,6395
Furcifer major,4,2316
Furcifer minor,6,4183
Furcifer nicosiai,7,5313
Furcifer oustaleti,10,9159
