Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Microcebus;tanosi;NA;Cheirogaleidae;Primates;Anosi mouse lemur;Microcebus tanosi;TRUE;TRUE;Extant;Endemic
Microcebus;tavaratra;NA;Cheirogaleidae;Primates;Northern rufous tavaratra mouse lemur;Microcebus tavaratra;TRUE;TRUE;Extant;Endemic
Mirza;coquereli;NA;Cheirogaleidae;Primates;Coquerel's giant mouse lemur;Mirza coquereli;TRUE;TRUE;Extant;Endemic
Mirza;zaza;NA;Cheirogaleidae;Primates;Northern giant mouse lemur;Mirza zaza;TRUE;TRUE;Extant;Endemic
Pachylemur;insignis;NA;Lemuridae;Primates;Giant ruffed Lemur;NA;FALSE;FALSE;Extinct;Endemic
Pachylemur;jullyi;NA;Lemuridae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Palaeopropithecus;ingens;NA;Palaeopropithecidae;Primates;Large sloth lemur;Palaeopropithecus ingens;TRUE;TRUE;Extinct;Endemic
Palaeopropithecus;kelyus;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Palaeopropithecus;maximus;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Phaner;electromontis;NA;Cheirogaleidae;Primates;Amber mountain fork-marked lemur;Phaner electromontis;TRUE;FALSE;Extant;Endemic
Phaner;furcifer;NA;Cheirogaleidae;Primates;Masoala fork-marked lemur;Phaner furcifer;TRUE;TRUE;Extant;Endemic
Phaner;pallescens;NA;Cheirogaleidae;Primates;Pale fork-marked lemur;Phaner pallescens;TRUE;FALSE;Extant;Endemic
Phaner;parienti;NA;Cheirogaleidae;Primates;Sambirano fork-marked lemur;Phaner parienti;TRUE;FALSE;Extant;Endemic
Prolemur;simus;NA;Lemuridae;Primates;Greater bamboo lemur;Prolemur simus;TRUE;TRUE;Extant;Endemic
Propithecus;candidus;NA;Indriidae;Primates;Silky sifaka;Propithecus candidus;TRUE;FALSE;Extant;Endemic
Propithecus;coquereli;NA;Indriidae;Primates;Coquerel's crowned sifaka;Propithecus coquereli;TRUE;TRUE;Extant;Endemic
Propithecus;coronatus;NA;Indriidae;Primates;Crowned sifaka;Propithecus coronatus;TRUE;FALSE;Extant;Endemic
Propithecus;deckenii;NA;Indriidae;Primates;Van der Decken's sifaka;Propithecus deckenii;TRUE;TRUE;Extant;Endemic
Propithecus;diadema;NA;Indriidae;Primates;Diademed sifaka;Propithecus diadema;TRUE;TRUE;Extant;Endemic
Propithecus;edwardsi;NA;Indriidae;Primates;Milne-Edward's sifaka;Propithecus edwardsi;TRUE;TRUE;Extant;Endemic
Propithecus;perrieri;NA;Indriidae;Primates;Perrier's sifaka;Propithecus perrieri;TRUE;TRUE;Extant;Endemic
Propithecus;tattersalli;NA;Indriidae;Primates;Tattersall's Golden-crowned sifaka;Propithecus tattersalli;TRUE;TRUE;Extant;Endemic
Propithecus;verreauxi;NA;Indriidae;Primates;Verreaux's sifaka;Propithecus verreauxi;TRUE;TRUE;Extant;Endemic
Varecia;rubra;NA;Lemuridae;Primates;Red ruffed lemur;Varecia rubra;TRUE;TRUE;Extant;Endemic
Varecia;variegata;variegata, editorum, subcincta;Lemuridae;Primates;Black-and-White ruffed lemur;Varecia variegata;TRUE;TRUE;Extant;Endemic
Brachytarsomys;albicauda;NA;Nesomyidae;Rodentia;White-tailed tree rat;Brachytarsomys albicauda;TRUE;TRUE;Extant;Endemic
Brachytarsomys;mahajambaensis;NA;Nesomyidae;Rodentia;NA;NA;FALSE;FALSE;Extinct;Endemic
Brachytarsomys;villosa;NA;Nesomyidae;Rodentia;Hairy-tailed tree rat;Brachytarsomys villosa;TRUE;FALSE;Extant;Endemic
Brachyuromys;betsileoensis;NA;Nesomyidae;Rodentia;Betsileo short-tailed rat;Brachyuromys betsileoensis;TRUE;TRUE;Extant;Endemic
Brachyuromys;ramirohitra;NA;Nesomyidae;Rodentia;Gregarious short-tailed rat;Brachyuromys ramirohitra;TRUE;TRUE;Extant;Endemic
Eliurus;antsingy;NA;Nesomyidae;Rodentia;Tsingy tuft-tailed rat;Eliurus antsingy;TRUE;TRUE;Extant;Endemic
Eliurus;carletoni;NA;Nesomyidae;Rodentia;Ankarana Special Reserve tufted-tailed rat;Eliurus carletoni;TRUE;TRUE;Extant;Endemic
Eliurus;danieli;NA;Nesomyidae;Rodentia;Daniel's tuft-tailed rat;Eliurus danieli;TRUE;FALSE;Extant;Endemic
Eliurus;ellermani;NA;Nesomyidae;Rodentia;Ellerman's tuft-tailed rat;Eliurus ellermani;TRUE;TRUE;Extant;Endemic
Eliurus;grandidieri;NA;Nesomyidae;Rodentia;Grandidier's tuft-tailed rat;Eliurus grandidieri;TRUE;TRUE;Extant;Endemic
Eliurus;majori;NA;Nesomyidae;Rodentia;Major's tuft-tailed rat;Eliurus majori;TRUE;TRUE;Extant;Endemic
Eliurus;minor;NA;Nesomyidae;Rodentia;Lesser tufted-tailed rat;Eliurus minor;TRUE;TRUE;Extant;Endemic
Eliurus;myoxinus;NA;Nesomyidae;Rodentia;Western tuft-tailed rat;Eliurus myoxinus;TRUE;TRUE;Extant;Endemic
Eliurus;penicillatus;NA;Nesomyidae;Rodentia;White-tipped tuft-tailed rat;Eliurus penicillatus;TRUE;FALSE;Extant;Endemic
Eliurus;petteri;NA;Nesomyidae;Rodentia;Petter's tuft-tailed rat;Eliurus petteri;TRUE;FALSE;Extant;Endemic
Eliurus;tanala;NA;Nesomyidae;Rodentia;Tanala tuft-tailed rat;Eliurus tanala;TRUE;TRUE;Extant;Endemic
Eliurus;tsingimbato;NA;Nesomyidae;Rodentia;NA;NA;FALSE;FALSE;Extant;Endemic
Eliurus;webbi;NA;Nesomyidae;Rodentia;Webb's tuft-tailed rat;Eliurus webbi;TRUE;TRUE;Extant;Endemic
Gymnuromys;roberti;NA;Nesomyidae;Rodentia;Voalavoanala;Gymnuromys roberti;TRUE;TRUE;Extant;Endemic
Hypogeomys;antimena;NA;Nesomyidae;Rodentia;Malagasy giant jumping rat;Hypogeomys antimena;TRUE;TRUE;Extant;Endemic
Hypogeomys;australis;NA;Nesomyidae;Rodentia;NA;NA;FALSE;FALSE;Extinct;Endemic
Macrotarsomys;bastardi;bastardi, occidentalis;Nesomyidae;Rodentia;Western big-footed mouse;Macrotarsomys bastardi;TRUE;TRUE;Extant;Endemic
Macrotarsomys;ingens;NA;Nesomyidae;Rodentia;Long-tailed big-footed mouse;Macrotarsomys ingens;TRUE;TRUE;Extant;Endemic
Macrotarsomys;petteri;NA;Nesomyidae;Rodentia;Petter's big-footed mouse;Macrotarsomys petteri;TRUE;FALSE;Extant;Endemic
Monticolomys;koopmani;NA;Nesomyidae;Rodentia;Malagasy mountain mouse;Monticolomys koopmani;TRUE;TRUE;Extant;Endemic
Nesomys;audeberti;NA;Nesomyidae;Rodentia;Lowland red forest rat;Nesomys audeberti;TRUE;TRUE;Extant;Endemic
Nesomys;lambertoni;NA;Nesomyidae;Rodentia;Western red forest rat;Nesomys lambertoni;TRUE;FALSE;Extant;Endemic
Nesomys;narindaensis;NA;Nesomyidae;Rodentia;NA;NA;FALSE;FALSE;Extinct;Endemic
Nesomys;rufus;NA;Nesomyidae;Rodentia;Eastern red forest rat;Nesomys rufus;TRUE;TRUE;Extant;Endemic
Voalavo;antsahabensis;NA;Nesomyidae;Rodentia;Eastern voalavo;Voalavo antsahabensis;TRUE;FALSE;Extant;Endemic
Voalavo;gymnocaudus;NA;Nesomyidae;Rodentia;Northern voalavo;Voalavo gymnocaudus;TRUE;TRUE;Extant;Endemic
