Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Mungotictis;decemlineata;declimineata, lineata;Eupleridae;Carnivora;Narrow-striped boky;Mungotictis decemlineata;TRUE;TRUE;Extant;Endemic
Salanoia;concolor;NA;Eupleridae;Carnivora;Brown-tailed vontsira;Salanoia concolor;TRUE;TRUE;Extant;Endemic
Chaerephon;atsinanana;NA;Molossidae;Chiroptera;Madagascar eastern free-tailed bat;Chaerephon atsinanana;TRUE;TRUE;Extant;Endemic
Chaerephon;jobimena;NA;Molossidae;Chiroptera;Malagasy western free-tailed bat;Tadarida jobimena;TRUE;TRUE;Extant;Endemic
Chaerephon;leucogaster;NA;Molossidae;Chiroptera;Grandidier's lesser free-tailed bat;NA;FALSE;FALSE;Extant;Non-endemic
Coleura;kibomalandy;NA;Emballonuridae;Chiroptera;Madagascar sheath-tailed bat;Coleura kibomalandy;TRUE;TRUE;Extant;Endemic
Eidolon;dupreanum;NA;Pteropodidae;Chiroptera;Madagascar straw-coloured fruit bat;Eidolon dupreanum;TRUE;TRUE;Extant;Endemic
Laephotis;malagasyensis;NA;Vespertilionidae;Chiroptera;Isalo Serotine;Neoromicia malagasyensis;TRUE;TRUE;Extant;Endemic
Laephotis;matroka;NA;Vespertilionidae;Chiroptera;Malagasy serotine;Neoromicia matroka;TRUE;TRUE;Extant;Endemic
Laephotis;robertsi;NA;Vespertilionidae;Chiroptera;Robert's serotine;Neoromicia robertsi;TRUE;TRUE;Extant;Endemic
Macronycteris;besaoka;NA;Hipposideridae;Chiroptera;NA;NA;FALSE;FALSE;Extinct;Endemic
Macronycteris;commersoni;NA;Hipposideridae;Chiroptera;Commerson's leaf-nosed bat;Hipposideros commersoni;TRUE;TRUE;Extant;Endemic
Macronycteris;cryptovalorona;NA;Hipposideridae;Chiroptera;Madagascar cryptic leaf-nosed bat;NA;FALSE;FALSE;Extant;Endemic
Miniopterus;aelleni;NA;Miniopteridae;Chiroptera;Aellen's long-fingered bat;Miniopterus aelleni;TRUE;TRUE;Extant;Non-endemic
Miniopterus;ambohitrensis;NA;Miniopteridae;Chiroptera;Montagne d’Ambre long-fingered Bat;Miniopterus ambohitrensis;TRUE;FALSE;Extant;Endemic
